strategy,ticker,name,buy_date,sell_date,hold_bdays,buy_px,qty,sell_px,pl_recorded,pl_gross_1unit,ret_pct_1unit,asset_at_entry,strategy_budget,notional_cap_pos_ratio,notional_1unit,notional_1unit_over_cap_x,N_atr14,N_pct_of_price,N_wilder20,turtle_unit_qty_theory,lot_in_turtle_units,MFE_won,MFE_N,MFE_pct,MAE_won,MAE_N,MAE_pct,mae_hit_2N,reach_0.5N,days_to_0.5N,reach_1N,days_to_1N,reach_1.5N,days_to_1.5N,reach_2N,days_to_2N,MFE20_N,MFE20_pct,bars_after_entry_avail,pess_units,pess_add_days,pess_unit_px,pess_avg_px,pess_final_stop,pess_exit_px,pess_exit_reason,pess_exit_day,pess_pnl,pess_pnl_delta_vs_1unit,pess_notional,pess_notional_pct_asset,pess_notional_over_budget_x,pess_risk_won_at_final_stop,pess_risk_pct_asset,pess_pnl_pct_asset,opt_units,opt_add_days,opt_unit_px,opt_avg_px,opt_final_stop,opt_exit_px,opt_exit_reason,opt_exit_day,opt_pnl,opt_pnl_delta_vs_1unit,opt_notional,opt_notional_pct_asset,opt_notional_over_budget_x,opt_risk_won_at_final_stop,opt_risk_pct_asset,opt_pnl_pct_asset,pess_1N_units,pess_1N_add_days,pess_1N_unit_px,pess_1N_avg_px,pess_1N_final_stop,pess_1N_exit_px,pess_1N_exit_reason,pess_1N_exit_day,pess_1N_pnl,pess_1N_pnl_delta_vs_1unit,pess_1N_notional,pess_1N_notional_pct_asset,pess_1N_notional_over_budget_x,pess_1N_risk_won_at_final_stop,pess_1N_risk_pct_asset,pess_1N_pnl_pct_asset,pess_budget_units,pess_budget_add_days,pess_budget_unit_px,pess_budget_avg_px,pess_budget_final_stop,pess_budget_exit_px,pess_budget_exit_reason,pess_budget_exit_day,pess_budget_pnl,pess_budget_pnl_delta_vs_1unit,pess_budget_notional,pess_budget_notional_pct_asset,pess_budget_notional_over_budget_x,pess_budget_risk_won_at_final_stop,pess_budget_risk_pct_asset,pess_budget_pnl_pct_asset
kojiro,079160,CJ CGV,2026-07-30,2026-08-18,12,5230.0,2,5170.0,-120.0,-120.0,-1.1472,1147087.0,344126.1,57124.9326,10460.0,0.1831,221.4286,4.2338,200.0804,7,0.2574,560.0,2.529,10.7075,330.0,1.4903,6.3098,False,True,0,True,0,True,6,True,8,2.529,10.7075,20,3,0|0,5230|5341|5451,5341,5009,5008.5714,pyr_stop_same_day_after_add,0,-1992.8571,-1872.8571,32044.2857,2.7935,0.0931,1992.8571,0.1737,-0.1737,3,0|0,5230|5341|5451,5341,5009,5008.5714,pyr_stop,2,-1992.8571,-1872.8571,32044.2857,2.7935,0.0931,1992.8571,0.1737,-0.1737,2,0,5230|5451,5341,5009,5008.5714,pyr_stop_same_day_after_add,0,-1328.5714,-1208.5714,21362.8571,1.8624,0.0621,1328.5714,0.1158,-0.1158,3,0|0,5230|5341|5451,5341,5009,5008.5714,pyr_stop_same_day_after_add,0,-1992.8571,-1872.8571,32044.2857,2.7935,0.0931,1992.8571,0.1737,-0.1737
kojiro,002790,아모레퍼시픽홀딩스,2026-08-04,2026-08-18,9,25150.0,1,25050.0,-100.0,-100.0,-0.3976,1151707.0,345512.1,57355.0086,25150.0,0.4385,1171.4286,4.6578,1246.2478,1,0.6781,2550.0,2.1768,10.1392,300.0,0.2561,1.1928,False,True,0,True,1,True,3,True,5,2.4756,11.5308,20,4,0|1|3,25150|25736|26321|26907,26029,24564,25050.0,actual_exit,9,-3914.2857,-3814.2857,104114.2857,9.04,0.3013,5857.1429,0.5086,-0.3399,4,0|1|3,25150|25736|26321|26907,26029,24564,25050.0,actual_exit,9,-3914.2857,-3814.2857,104114.2857,9.04,0.3013,5857.1429,0.5086,-0.3399,3,1|5,25150|26321|27493,26321,25150,25050.0,actual_exit(stop_touched_same_day),9,-3814.2857,-3714.2857,78964.2857,6.8563,0.2285,3514.2857,0.3051,-0.3312,4,0|1|3,25150|25736|26321|26907,26029,24564,25050.0,actual_exit,9,-3914.2857,-3814.2857,104114.2857,9.04,0.3013,5857.1429,0.5086,-0.3399
donchian_swing,204320,HL만도,2026-08-18,2026-08-20,2,55900.0,1,53700.0,-2200.0,-2200.0,-3.9356,2634665.0,395199.75,79039.95,55900.0,0.7072,3557.1429,6.3634,3810.8272,0,1.8002,1700.0,0.4779,3.0411,5400.0,1.5181,9.6601,False,False,,False,,False,,False,,0.4779,3.0411,11,1,,55900,55900,48786,53700.0,actual_exit,2,-2200.0,0.0,55900.0,2.1217,0.1414,7114.2857,0.27,-0.0835,1,,55900,55900,48786,53700.0,actual_exit,2,-2200.0,0.0,55900.0,2.1217,0.1414,7114.2857,0.27,-0.0835,1,,55900,55900,48786,53700.0,actual_exit,2,-2200.0,0.0,55900.0,2.1217,0.1414,7114.2857,0.27,-0.0835,1,,55900,55900,48786,53700.0,actual_exit,2,-2200.0,0.0,55900.0,2.1217,0.1414,7114.2857,0.27,-0.0835
donchian_swing,078930,GS,2026-08-14,2026-08-20,3,110300.0,1,112800.0,2500.0,2500.0,2.2665,1154509.0,173176.35,34635.27,110300.0,3.1846,8603.5714,7.8002,7089.7041,0,9.9362,10900.0,1.2669,9.8821,3400.0,0.3952,3.0825,False,True,0,True,1,False,,False,,2.6617,20.7616,12,3,0|1,110300|114602|118904,114602,101696,112800.0,actual_exit,3,-5405.3571,-7905.3571,343805.3571,29.7794,1.9853,38716.0714,3.3535,-0.4682,3,0|1,110300|114602|118904,114602,101696,112800.0,actual_exit,3,-5405.3571,-7905.3571,343805.3571,29.7794,1.9853,38716.0714,3.3535,-0.4682,2,1,110300|118904,114602,101696,112800.0,actual_exit,3,-3603.5714,-6103.5714,229203.5714,19.8529,1.3235,25810.7143,2.2356,-0.3121,1,,110300,110300,93093,112800.0,actual_exit,3,2500.0,0.0,110300.0,9.5538,0.6369,17207.1429,1.4904,0.2165
kojiro,316140,우리금융지주,2026-07-28,2026-08-21,17,33050.0,2,31350.0,-3400.0,-3400.0,-5.1437,1157348.0,347204.4,57635.9304,66100.0,1.1469,1507.1429,4.5602,1458.7509,1,1.7363,1800.0,1.1943,5.4463,2150.0,1.4265,6.5053,False,True,2,True,8,False,,False,,1.1943,5.4463,20,3,2|8,33050|33804|34557,33804,31543,31400,pyr_stop_gap,17,-14421.4286,-11021.4286,202821.4286,17.5247,0.5842,13564.2857,1.172,-1.2461,3,2|8,33050|33804|34557,33804,31543,31400,pyr_stop_gap,17,-14421.4286,-11021.4286,202821.4286,17.5247,0.5842,13564.2857,1.172,-1.2461,2,8,33050|34557,33804,31543,31400,pyr_stop_gap,17,-9614.2857,-6214.2857,135214.2857,11.6831,0.3894,9042.8571,0.7813,-0.8307,3,2|8,33050|33804|34557,33804,31543,31400,pyr_stop_gap,17,-14421.4286,-11021.4286,202821.4286,17.5247,0.5842,13564.2857,1.172,-1.2461
donchian_swing,095340,ISC,2026-08-19,2026-08-21,2,162500.0,1,169600.0,7100.0,7100.0,4.3692,2616384.0,392457.6,78491.52,162500.0,2.0703,13264.2857,8.1626,14434.0331,0,6.7596,19900.0,1.5003,12.2462,12200.0,0.9198,7.5077,False,True,0,True,0,True,0,False,,1.5003,12.2462,10,4,0|0|0,162500|169132|175764|182396,172448,155868,169600.0,actual_exit(stop_touched_same_day),2,-11392.8571,-18492.8571,689792.8571,26.3644,1.7576,66321.4286,2.5349,-0.4354,4,0|0|0,162500|169132|175764|182396,172448,155868,169600.0,actual_exit(stop_touched_same_day),2,-11392.8571,-18492.8571,689792.8571,26.3644,1.7576,66321.4286,2.5349,-0.4354,2,0,162500|175764,169132,149236,169600.0,actual_exit,2,935.7143,-6164.2857,338264.2857,12.9287,0.8619,39792.8571,1.5209,0.0358,2,0,162500|169132,165816,142604,169600.0,actual_exit,2,7567.8571,467.8571,331632.1429,12.6752,0.845,46425.0,1.7744,0.2892
kojiro,018670,SK가스,2026-08-18,2026-08-21,3,245500.0,1,225500.0,-20000.0,-20000.0,-8.1466,2634665.0,790399.5,131206.317,245500.0,1.8711,13300.0,5.4175,13237.1798,0,3.3654,1000.0,0.0752,0.4073,21500.0,1.6165,8.7576,False,False,,False,,False,,False,,0.0752,0.4073,11,1,,245500,245500,218900,225500.0,actual_exit,3,-20000.0,0.0,245500.0,9.3181,0.3106,26600.0,1.0096,-0.7591,1,,245500,245500,218900,225500.0,actual_exit,3,-20000.0,0.0,245500.0,9.3181,0.3106,26600.0,1.0096,-0.7591,1,,245500,245500,218900,225500.0,actual_exit,3,-20000.0,0.0,245500.0,9.3181,0.3106,26600.0,1.0096,-0.7591,1,,245500,245500,218900,225500.0,actual_exit,3,-20000.0,0.0,245500.0,9.3181,0.3106,26600.0,1.0096,-0.7591
donchian_swing,403870,HPSP,2026-08-21,2026-08-25,2,46250.0,1,43700.0,-2550.0,-2550.0,-5.5135,2584191.0,387628.65,77525.73,46250.0,0.5966,3571.4286,7.722,4506.6596,0,1.8427,2500.0,0.7,5.4054,3250.0,0.91,7.027,False,True,0,False,,False,,False,,1.89,14.5946,8,2,0,46250|48036,47143,40893,43700.0,actual_exit,2,-6885.7143,-4335.7143,94285.7143,3.6486,0.2432,12500.0,0.4837,-0.2665,2,0,46250|48036,47143,40893,43700.0,actual_exit,2,-6885.7143,-4335.7143,94285.7143,3.6486,0.2432,12500.0,0.4837,-0.2665,1,,46250,46250,39107,43700.0,actual_exit,2,-2550.0,0.0,46250.0,1.7897,0.1193,7142.8571,0.2764,-0.0987,2,0,46250|48036,47143,40893,43700.0,actual_exit,2,-6885.7143,-4335.7143,94285.7143,3.6486,0.2432,12500.0,0.4837,-0.2665
donchian_swing,028670,팬오션,2026-08-25,2026-08-26,1,6280.0,5,5700.0,-2900.0,-2900.0,-9.2357,2583020.0,387453.0,77490.6,31400.0,0.4052,351.7857,5.6017,342.3241,5,0.9079,250.0,0.7107,3.9809,770.0,2.1888,12.2611,True,True,0,False,,False,,False,,0.7107,3.9809,6,2,0,6280|6456,6368,5752,5700.0,actual_exit(stop_touched_same_day),1,-6679.4643,-3779.4643,63679.4643,2.4653,0.1644,6156.25,0.2383,-0.2586,2,0,6280|6456,6368,5752,5700.0,actual_exit(stop_touched_same_day),1,-6679.4643,-3779.4643,63679.4643,2.4653,0.1644,6156.25,0.2383,-0.2586,1,,6280,6280,5576,5700.0,actual_exit(stop_touched_same_day),1,-2900.0,0.0,31400.0,1.2156,0.081,3517.8571,0.1362,-0.1123,2,0,6280|6456,6368,5752,5700.0,actual_exit(stop_touched_same_day),1,-6679.4643,-3779.4643,63679.4643,2.4653,0.1644,6156.25,0.2383,-0.2586
kojiro,012750,에스원,2026-08-18,2026-08-27,7,77400.0,1,83100.0,5700.0,5700.0,7.3643,2634665.0,790399.5,131206.317,77400.0,0.5899,2628.5714,3.3961,3188.9145,1,0.6651,11600.0,4.413,14.9871,3300.0,1.2554,4.2636,False,True,4,True,5,True,7,True,7,4.413,14.9871,11,4,4|5|7,77400|78714|80029|81343,79371,76086,83100.0,actual_exit,7,14914.2857,9214.2857,317485.7143,12.0503,0.4017,13142.8571,0.4988,0.5661,4,4|5|7,77400|78714|80029|81343,79371,76086,83100.0,actual_exit,7,14914.2857,9214.2857,317485.7143,12.0503,0.4017,13142.8571,0.4988,0.5661,4,5|7|7,77400|80029|82657|85286,81343,80029,83100.0,actual_exit,7,7028.5714,1328.5714,325371.4286,12.3496,0.4117,5257.1429,0.1995,0.2668,4,4|5|7,77400|78714|80029|81343,79371,76086,83100.0,actual_exit,7,14914.2857,9214.2857,317485.7143,12.0503,0.4017,13142.8571,0.4988,0.5661
donchian_swing,124500,아이티센글로벌,2026-08-26,2026-08-28,2,37300.0,2,39250.0,3900.0,3900.0,5.2279,2603741.0,390561.15,78112.23,74600.0,0.955,3592.8571,9.6323,3336.2786,0,3.6797,3200.0,0.8907,8.5791,300.0,0.0835,0.8043,False,True,0,False,,False,,False,,0.8907,8.5791,5,2,0,37300|39096,38198,31911,39250.0,actual_exit,2,4207.1429,307.1429,152792.8571,5.8682,0.3912,25150.0,0.9659,0.1616,2,0,37300|39096,38198,31911,39250.0,actual_exit,2,4207.1429,307.1429,152792.8571,5.8682,0.3912,25150.0,0.9659,0.1616,1,,37300,37300,30114,39250.0,actual_exit,2,3900.0,0.0,74600.0,2.8651,0.191,14371.4286,0.552,0.1498,2,0,37300|39096,38198,31911,39250.0,actual_exit,2,4207.1429,307.1429,152792.8571,5.8682,0.3912,25150.0,0.9659,0.1616
donchian_swing,192820,코스맥스,2026-08-24,2026-09-01,6,273500.0,1,275500.0,2000.0,2000.0,0.7313,2573866.0,386079.9,77215.98,273500.0,3.542,16778.5714,6.1348,14427.9842,0,8.6918,33000.0,1.9668,12.0658,8000.0,0.4768,2.925,False,True,0,True,2,True,4,False,,1.9668,12.0658,7,4,0|2|4,273500|281889|290279|298668,286084,265111,275500.0,actual_exit,6,-42335.7143,-44335.7143,1144335.7143,44.4598,2.964,83892.8571,3.2594,-1.6448,4,0|2|4,273500|281889|290279|298668,286084,265111,275500.0,actual_exit,6,-42335.7143,-44335.7143,1144335.7143,44.4598,2.964,83892.8571,3.2594,-1.6448,2,2,273500|290279,281889,256721,275500.0,actual_exit,6,-12778.5714,-14778.5714,563778.5714,21.904,1.4603,50335.7143,1.9556,-0.4965,1,,273500,273500,239943,275500.0,actual_exit,6,2000.0,0.0,273500.0,10.626,0.7084,33557.1429,1.3038,0.0777
donchian_swing,034020,두산에너빌리티,2026-08-31,2026-09-02,2,83600.0,1,78900.0,-4700.0,-4700.0,-5.622,2614048.0,392107.2,78421.44,83600.0,1.066,4357.1429,5.2119,5120.0052,0,2.2224,2800.0,0.6426,3.3493,3500.0,0.8033,4.1866,False,True,0,False,,False,,False,,0.6426,3.3493,2,2,0,83600|85779,84689,77064,78900.0,actual_exit,2,-11578.5714,-6878.5714,169378.5714,6.4796,0.432,15250.0,0.5834,-0.4429,2,0,83600|85779,84689,77064,78900.0,actual_exit,2,-11578.5714,-6878.5714,169378.5714,6.4796,0.432,15250.0,0.5834,-0.4429,1,,83600,83600,74886,78900.0,actual_exit,2,-4700.0,0.0,83600.0,3.1981,0.2132,8714.2857,0.3334,-0.1798,2,0,83600|85779,84689,77064,78900.0,actual_exit,2,-11578.5714,-6878.5714,169378.5714,6.4796,0.432,15250.0,0.5834,-0.4429
