strategy,ticker,name,buy_date,buy_px,qty,last_close,hold_bdays,N_atr14,N_pct,MFE_N,MFE_pct,reach_0.5N,reach_1N,reach_1.5N,pess_units_would_hold,pess_add_days,pess_final_stop,pess_exit_reason,pess_mark_pnl,pess_notional,notional_pct_asset,risk_pct_asset_at_final_stop,unit_notional_1,notional_cap_pos_ratio
kojiro,285130,SK케미칼,2026-08-19,47350.0,1,54100,10,2535.7143,5.3553,3.6085,19.3242,True,True,True,4,1|1|5,46082,open_mark,19392.8571,197007.1429,7.5297,0.4846,47350.0,130295.9232
kojiro,005180,빙그레,2026-08-19,75800.0,1,91500,10,3521.4286,4.6457,5.7363,26.6491,True,True,True,4,0|0|1,74039,open_mark,52235.7143,313764.2857,11.9923,0.673,75800.0,130295.9232
kojiro,004690,삼천리,2026-08-20,130000.0,1,130400,1,4178.5714,3.2143,0.335,1.0769,False,False,False,1,,121643,open_mark,400.0,130000.0,5.0243,0.323,130000.0,128852.5698
kojiro,000815,삼성화재우,2026-08-21,405500.0,1,437000,8,11285.7143,2.7832,3.057,8.508,True,True,True,4,0|0|3,399857,open_mark,92142.8571,1655857.1429,64.0764,2.1836,405500.0,128692.7118
kojiro,225570,넥슨게임즈,2026-08-27,11040.0,4,11500,4,479.2857,4.3414,1.0641,4.6196,True,True,False,3,0|3,10561,open_mark,2644.2857,135355.7143,5.2239,0.333,44160.0,129035.6844
kojiro,003490,대한항공,2026-08-28,28050.0,2,28750,3,896.4286,3.1958,1.004,3.2086,True,True,False,3,0|2,27154,open_mark,1510.7143,170989.2857,6.5004,0.3067,56100.0,130995.6132
donchian_swing,088350,한화생명,2026-08-31,5790.0,5,5920,2,354.6429,6.1251,0.7331,4.4905,True,False,False,2,0,5258,open_mark,413.3929,58786.6071,2.2489,0.2374,28950.0,78421.44
donchian_swing,293490,카카오게임즈,2026-09-02,9600.0,2,9880,0,648.5714,6.756,0.4317,2.9167,False,False,False,1,,8303,open_mark,560.0,19200.0,0.7436,0.1005,19200.0,77463.96
