score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
mf_rank,ret_oc_bp,new,NA,184,13,,343.68,286.9,0.625,315.68,0.6033,70.35,4.89,0.0004
mf_rank,ret_bo_simple_bp,all,Q1,54,27,,53.52,30.85,0.5185,25.52,0.5185,61.56,0.87,0.3925
mf_rank,ret_bo_simple_bp,all,Q2,57,24,,7.77,-2.66,0.4912,-20.23,0.4386,51.27,0.15,0.8809
mf_rank,ret_bo_simple_bp,all,Q3,48,26,,38.52,49.08,0.5625,10.52,0.5417,68.09,0.57,0.5766
mf_rank,ret_bo_simple_bp,all,Q4,47,20,,-40.47,1.73,0.5106,-68.47,0.4681,81.22,-0.5,0.624
mf_rank,ret_bo_simple_bp,all,NA,142,33,,13.59,-23.14,0.4718,-14.41,0.4507,67.93,0.2,0.8427
mf_rank,ret_bo_simple_bp,prior,Q1,37,16,,64.75,34.52,0.5135,36.75,0.5135,86.59,0.75,0.4662
mf_rank,ret_bo_simple_bp,prior,Q2,29,13,,9.45,20.07,0.5517,-18.55,0.4828,72.1,0.13,0.8979
mf_rank,ret_bo_simple_bp,prior,Q3,20,14,,36.18,87.77,0.7,8.18,0.65,74.3,0.49,0.6344
mf_rank,ret_bo_simple_bp,prior,Q4,29,11,,32.52,-24.81,0.4483,4.52,0.4138,79.57,0.41,0.6914
mf_rank,ret_bo_simple_bp,prior,NA,82,21,,-57.32,-93.23,0.439,-85.32,0.4268,107.98,-0.53,0.6014
mf_rank,ret_bo_simple_bp,new,Q1,17,11,,29.09,29.84,0.5294,1.09,0.5294,52.58,0.55,0.5922
mf_rank,ret_bo_simple_bp,new,Q2,28,11,,6.02,-47.77,0.4286,-21.98,0.3929,75.99,0.08,0.9384
mf_rank,ret_bo_simple_bp,new,Q3,28,12,,40.19,-21.4,0.4643,12.19,0.4643,106.86,0.38,0.714
mf_rank,ret_bo_simple_bp,new,Q4,18,9,,-158.05,64.05,0.6111,-186.05,0.5556,160.87,-0.98,0.3546
mf_rank,ret_bo_simple_bp,new,NA,60,12,,110.5,4.07,0.5167,82.5,0.4833,70.2,1.57,0.1438
mf_rank,ret_bo_simple_stoplb_bp,all,Q1,54,27,,63.93,30.85,0.5185,35.93,0.5185,58.09,1.1,0.2811
mf_rank,ret_bo_simple_stoplb_bp,all,Q2,57,24,,8.7,-2.66,0.4912,-19.3,0.4386,50.76,0.17,0.8655
mf_rank,ret_bo_simple_stoplb_bp,all,Q3,48,26,,66.17,49.08,0.5625,38.17,0.5417,59.92,1.1,0.2799
mf_rank,ret_bo_simple_stoplb_bp,all,Q4,47,20,,6.75,1.73,0.5106,-21.25,0.4681,63.52,0.11,0.9165
mf_rank,ret_bo_simple_stoplb_bp,all,NA,142,33,,97.11,-23.14,0.4718,69.11,0.4507,49.64,1.96,0.0592
mf_rank,ret_bo_simple_stoplb_bp,prior,Q1,37,16,,79.94,34.52,0.5135,51.94,0.5135,80.61,0.99,0.3371
mf_rank,ret_bo_simple_stoplb_bp,prior,Q2,29,13,,9.45,20.07,0.5517,-18.55,0.4828,72.1,0.13,0.8979
mf_rank,ret_bo_simple_stoplb_bp,prior,Q3,20,14,,56.66,87.77,0.7,28.66,0.65,63.73,0.89,0.3901
mf_rank,ret_bo_simple_stoplb_bp,prior,Q4,29,11,,35.12,-24.81,0.4483,7.12,0.4138,78.74,0.45,0.6651
mf_rank,ret_bo_simple_stoplb_bp,prior,NA,82,21,,50.0,-93.23,0.439,22.0,0.4268,76.2,0.66,0.5191
mf_rank,ret_bo_simple_stoplb_bp,new,Q1,17,11,,29.09,29.84,0.5294,1.09,0.5294,52.58,0.55,0.5922
mf_rank,ret_bo_simple_stoplb_bp,new,Q2,28,11,,7.92,-47.77,0.4286,-20.08,0.3929,74.66,0.11,0.9177
mf_rank,ret_bo_simple_stoplb_bp,new,Q3,28,12,,72.97,-21.4,0.4643,44.97,0.4643,94.33,0.77,0.4555
mf_rank,ret_bo_simple_stoplb_bp,new,Q4,18,9,,-38.96,64.05,0.6111,-66.96,0.5556,106.56,-0.37,0.7241
mf_rank,ret_bo_simple_stoplb_bp,new,NA,60,12,,161.48,4.07,0.5167,133.48,0.4833,61.14,2.64,0.0229
mf_rank,ret_bo_simple_stopub_bp,all,Q1,54,27,,-318.31,-500.0,0.1667,-346.31,0.1667,46.83,-6.8,0.0
mf_rank,ret_bo_simple_stopub_bp,all,Q2,57,24,,-295.28,-500.0,0.2105,-323.28,0.193,33.62,-8.78,0.0
mf_rank,ret_bo_simple_stopub_bp,all,Q3,48,26,,-381.05,-500.0,0.125,-409.05,0.1042,29.13,-13.08,0.0
mf_rank,ret_bo_simple_stopub_bp,all,Q4,47,20,,-344.05,-500.0,0.1915,-372.05,0.1702,54.54,-6.31,0.0
mf_rank,ret_bo_simple_stopub_bp,all,NA,142,33,,-429.96,-500.0,0.0423,-457.96,0.0423,27.82,-15.45,0.0
mf_rank,ret_bo_simple_stopub_bp,prior,Q1,37,16,,-357.56,-500.0,0.1351,-385.56,0.1351,51.02,-7.01,0.0
mf_rank,ret_bo_simple_stopub_bp,prior,Q2,29,13,,-361.15,-500.0,0.1379,-389.15,0.1379,42.95,-8.41,0.0
mf_rank,ret_bo_simple_stopub_bp,prior,Q3,20,14,,-385.86,-500.0,0.2,-413.86,0.15,54.83,-7.04,0.0
mf_rank,ret_bo_simple_stopub_bp,prior,Q4,29,11,,-414.23,-500.0,0.069,-442.23,0.069,51.5,-8.04,0.0
mf_rank,ret_bo_simple_stopub_bp,prior,NA,82,21,,-430.83,-500.0,0.0488,-458.83,0.0488,41.95,-10.27,0.0
mf_rank,ret_bo_simple_stopub_bp,new,Q1,17,11,,-232.89,-500.0,0.2353,-260.89,0.2353,102.72,-2.27,0.0468
mf_rank,ret_bo_simple_stopub_bp,new,Q2,28,11,,-227.06,-500.0,0.2857,-255.06,0.25,36.88,-6.16,0.0001
mf_rank,ret_bo_simple_stopub_bp,new,Q3,28,12,,-377.61,-500.0,0.0714,-405.61,0.0714,31.95,-11.82,0.0
mf_rank,ret_bo_simple_stopub_bp,new,Q4,18,9,,-230.99,-500.0,0.3889,-258.99,0.3333,94.51,-2.44,0.0403
mf_rank,ret_bo_simple_stopub_bp,new,NA,60,12,,-428.77,-500.0,0.0333,-456.77,0.0333,34.33,-12.49,0.0
mf_rank,ret_bo_live_bp,all,Q1,148,33,,46.62,16.7,0.5338,18.62,0.473,39.88,1.17,0.251
mf_rank,ret_bo_live_bp,all,Q2,133,33,,33.1,26.48,0.5564,5.1,0.4962,50.67,0.65,0.5182
mf_rank,ret_bo_live_bp,all,Q3,142,33,,11.54,1.26,0.507,-16.46,0.4296,41.67,0.28,0.7836
mf_rank,ret_bo_live_bp,all,Q4,148,30,,-39.57,-53.04,0.4122,-67.57,0.3986,53.18,-0.74,0.4627
