score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
rs,ret_bo_live_stoplb_bp,all,Q1,149,23,,71.44,26.11,0.557,43.44,0.4966,44.56,1.6,0.1232
rs,ret_bo_live_stoplb_bp,all,Q2,140,23,,97.96,17.67,0.5143,69.96,0.4714,40.81,2.4,0.0253
rs,ret_bo_live_stoplb_bp,all,Q3,132,21,,107.7,16.35,0.5152,79.7,0.4924,44.88,2.4,0.0263
rs,ret_bo_live_stoplb_bp,all,Q4,142,23,,143.81,17.89,0.5211,115.81,0.4859,45.56,3.16,0.0046
rs,ret_bo_live_stoplb_bp,all,NA,275,26,,4.65,-42.64,0.4618,-23.35,0.4145,79.34,0.06,0.9537
rs,ret_bo_live_stoplb_bp,prior,Q1,65,10,,111.02,-13.98,0.4923,83.02,0.4462,73.01,1.52,0.1627
rs,ret_bo_live_stoplb_bp,prior,Q2,64,10,,106.59,14.67,0.5156,78.59,0.4531,61.33,1.74,0.1162
rs,ret_bo_live_stoplb_bp,prior,Q3,76,10,,72.68,-11.59,0.4737,44.68,0.4474,48.56,1.5,0.1687
rs,ret_bo_live_stoplb_bp,prior,Q4,73,10,,100.18,15.95,0.5068,72.18,0.4795,66.51,1.51,0.1663
rs,ret_bo_live_stoplb_bp,prior,NA,259,18,,-11.72,-48.45,0.4402,-39.72,0.3938,86.14,-0.14,0.8933
rs,ret_bo_live_stoplb_bp,new,Q1,84,13,,40.81,35.54,0.6071,12.81,0.5357,53.13,0.77,0.4572
rs,ret_bo_live_stoplb_bp,new,Q2,76,13,,90.69,22.27,0.5132,62.69,0.4868,56.96,1.59,0.1373
rs,ret_bo_live_stoplb_bp,new,Q3,56,11,,155.21,83.98,0.5714,127.21,0.5536,80.97,1.92,0.0843
rs,ret_bo_live_stoplb_bp,new,Q4,69,13,,189.98,21.51,0.5362,161.98,0.4928,60.93,3.12,0.0089
rs,ret_bo_live_stoplb_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
rs,ret_bo_live_stopub_bp,all,Q1,149,23,,-208.07,-500.0,0.3423,-236.07,0.2953,45.47,-4.58,0.0001
rs,ret_bo_live_stopub_bp,all,Q2,140,23,,-226.71,-500.0,0.2357,-254.71,0.2214,34.68,-6.54,0.0
rs,ret_bo_live_stopub_bp,all,Q3,132,21,,-209.25,-500.0,0.2576,-237.25,0.2424,46.1,-4.54,0.0002
rs,ret_bo_live_stopub_bp,all,Q4,142,23,,-229.43,-500.0,0.2042,-257.43,0.1972,48.41,-4.74,0.0001
rs,ret_bo_live_stopub_bp,all,NA,275,26,,-271.89,-500.0,0.2145,-299.89,0.1891,73.07,-3.72,0.001
rs,ret_bo_live_stopub_bp,prior,Q1,65,10,,-353.28,-500.0,0.1385,-381.28,0.1231,42.32,-8.35,0.0
rs,ret_bo_live_stopub_bp,prior,Q2,64,10,,-240.19,-500.0,0.2188,-268.19,0.2031,52.4,-4.58,0.0013
rs,ret_bo_live_stopub_bp,prior,Q3,76,10,,-164.35,-271.85,0.2763,-192.35,0.2632,66.05,-2.49,0.0345
rs,ret_bo_live_stopub_bp,prior,Q4,73,10,,-185.22,-500.0,0.2329,-213.22,0.2329,74.67,-2.48,0.035
rs,ret_bo_live_stopub_bp,prior,NA,259,18,,-294.25,-500.0,0.1892,-322.25,0.166,77.95,-3.78,0.0015
rs,ret_bo_live_stopub_bp,new,Q1,84,13,,-95.71,-4.17,0.5,-123.71,0.4286,50.84,-1.88,0.0843
rs,ret_bo_live_stopub_bp,new,Q2,76,13,,-215.35,-500.0,0.25,-243.35,0.2368,46.72,-4.61,0.0006
rs,ret_bo_live_stopub_bp,new,Q3,56,11,,-270.18,-500.0,0.2321,-298.18,0.2143,54.64,-4.95,0.0006
rs,ret_bo_live_stopub_bp,new,Q4,69,13,,-276.2,-500.0,0.1739,-304.2,0.1594,59.11,-4.67,0.0005
rs,ret_bo_live_stopub_bp,new,NA,16,8,,90.07,114.83,0.625,62.07,0.5625,142.69,0.63,0.5479
rs_sign,ret_oc_bp,all,rs<=0,330,23,,140.93,64.69,0.5727,112.93,0.5364,58.23,2.42,0.0242
rs_sign,ret_oc_bp,all,rs>0,1058,23,,163.65,88.83,0.5756,135.65,0.551,33.63,4.87,0.0001
rs_sign,ret_oc_bp,all,NA,896,35,,-63.75,-76.4,0.4408,-91.75,0.4174,103.24,-0.62,0.541
rs_sign,ret_oc_bp,prior,rs<=0,107,10,,355.83,195.2,0.6075,327.83,0.5888,101.41,3.51,0.0066
rs_sign,ret_oc_bp,prior,rs>0,514,10,,209.86,126.86,0.6245,181.86,0.607,39.91,5.26,0.0005
rs_sign,ret_oc_bp,prior,NA,866,23,,-79.37,-86.08,0.4307,-107.37,0.4065,107.25,-0.74,0.4671
rs_sign,ret_oc_bp,new,rs<=0,223,13,,37.82,33.48,0.5561,9.82,0.5112,43.61,0.87,0.4029
rs_sign,ret_oc_bp,new,rs>0,544,13,,119.98,26.99,0.5294,91.98,0.4982,51.5,2.33,0.0381
rs_sign,ret_oc_bp,new,NA,30,12,,386.95,355.57,0.7333,358.95,0.7333,158.27,2.44,0.0325
rs_sign,ret_bo_simple_bp,all,rs<=0,67,20,,-14.46,-12.95,0.4776,-42.46,0.4478,43.56,-0.33,0.7436
rs_sign,ret_bo_simple_bp,all,rs>0,191,23,,57.41,-11.51,0.4817,29.41,0.4555,41.93,1.37,0.1848
rs_sign,ret_bo_simple_bp,all,NA,90,22,,-53.19,44.63,0.5556,-81.19,0.5333,127.41,-0.42,0.6806
rs_sign,ret_bo_simple_bp,prior,rs<=0,23,7,,-23.59,-73.07,0.3913,-51.59,0.3478,61.74,-0.38,0.7155
rs_sign,ret_bo_simple_bp,prior,rs>0,92,10,,65.38,-21.76,0.4674,37.38,0.4348,54.89,1.19,0.2641
rs_sign,ret_bo_simple_bp,prior,NA,82,16,,-71.18,52.13,0.561,-99.18,0.5488,145.45,-0.49,0.6317
rs_sign,ret_bo_simple_bp,new,rs<=0,44,13,,-9.68,17.74,0.5227,-37.68,0.5,59.71,-0.16,0.8739
rs_sign,ret_bo_simple_bp,new,rs>0,99,13,,50.0,-2.66,0.4949,22.0,0.4747,64.62,0.77,0.454
rs_sign,ret_bo_simple_bp,new,NA,8,6,,131.15,-6.13,0.5,103.15,0.375,84.17,1.56,0.1799
rs_sign,ret_bo_simple_stoplb_bp,all,rs<=0,67,20,,1.42,-12.95,0.4776,-26.58,0.4478,36.23,0.04,0.9692
rs_sign,ret_bo_simple_stoplb_bp,all,rs>0,191,23,,87.55,-11.51,0.4817,59.55,0.4555,37.21,2.35,0.028
rs_sign,ret_bo_simple_stoplb_bp,all,NA,90,22,,49.05,44.63,0.5556,21.05,0.5333,83.24,0.59,0.562
rs_sign,ret_bo_simple_stoplb_bp,prior,rs<=0,23,7,,-13.63,-73.07,0.3913,-41.63,0.3478,58.52,-0.23,0.8236
rs_sign,ret_bo_simple_stoplb_bp,prior,rs>0,92,10,,80.0,-21.76,0.4674,52.0,0.4348,53.16,1.5,0.1667
rs_sign,ret_bo_simple_stoplb_bp,prior,NA,82,16,,29.73,52.13,0.561,1.73,0.5488,95.6,0.31,0.7601
rs_sign,ret_bo_simple_stoplb_bp,new,rs<=0,44,13,,9.28,17.74,0.5227,-18.72,0.5,47.67,0.19,0.8489
rs_sign,ret_bo_simple_stoplb_bp,new,rs>0,99,13,,94.57,-2.66,0.4949,66.57,0.4747,54.94,1.72,0.1109
rs_sign,ret_bo_simple_stoplb_bp,new,NA,8,6,,247.06,-6.13,0.5,219.06,0.375,171.97,1.44,0.2103
rs_sign,ret_bo_simple_stopub_bp,all,rs<=0,67,20,,-352.15,-500.0,0.1493,-380.15,0.1493,40.24,-8.75,0.0
rs_sign,ret_bo_simple_stopub_bp,all,rs>0,191,23,,-366.71,-500.0,0.1257,-394.71,0.1099,22.5,-16.3,0.0
rs_sign,ret_bo_simple_stopub_bp,all,NA,90,22,,-398.87,-500.0,0.0889,-426.87,0.0889,26.69,-14.94,0.0
rs_sign,ret_bo_simple_stopub_bp,prior,rs<=0,23,7,,-500.0,-500.0,0.0,-528.0,0.0,0.0,,
rs_sign,ret_bo_simple_stopub_bp,prior,rs>0,92,10,,-379.09,-500.0,0.1196,-407.09,0.1087,36.66,-10.34,0.0
rs_sign,ret_bo_simple_stopub_bp,prior,NA,82,16,,-394.93,-500.0,0.0976,-422.93,0.0976,28.42,-13.9,0.0
rs_sign,ret_bo_simple_stopub_bp,new,rs<=0,44,13,,-274.87,-500.0,0.2273,-302.87,0.2273,42.81,-6.42,0.0
rs_sign,ret_bo_simple_stopub_bp,new,rs>0,99,13,,-355.21,-500.0,0.1313,-383.21,0.1111,29.58,-12.01,0.0
rs_sign,ret_bo_simple_stopub_bp,new,NA,8,6,,-439.24,-500.0,0.0,-467.24,0.0,64.45,-6.82,0.001
rs_sign,ret_bo_live_bp,all,rs<=0,141,23,,34.43,25.97,0.5532,6.43,0.4894,47.18,0.73,0.4732
rs_sign,ret_bo_live_bp,all,rs>0,422,23,,93.77,19.62,0.519,65.77,0.4858,30.53,3.07,0.0056
rs_sign,ret_bo_live_bp,all,NA,275,26,,-80.72,-42.64,0.4618,-108.72,0.4145,100.74,-0.8,0.4305
rs_sign,ret_bo_live_bp,prior,rs<=0,60,10,,47.27,-17.73,0.4667,19.27,0.4167,87.23,0.54,0.6011
rs_sign,ret_bo_live_bp,prior,rs>0,218,10,,78.28,7.08,0.5046,50.28,0.4679,34.52,2.27,0.0495
rs_sign,ret_bo_live_bp,prior,NA,259,18,,-102.37,-48.45,0.4402,-130.37,0.3938,109.71,-0.93,0.3638
rs_sign,ret_bo_live_bp,new,rs<=0,81,13,,24.93,40.01,0.6173,-3.07,0.5432,53.01,0.47,0.6466
rs_sign,ret_bo_live_bp,new,rs>0,204,13,,110.32,33.47,0.5343,82.32,0.5049,52.54,2.1,0.0576
rs_sign,ret_bo_live_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
rs_sign,ret_bo_live_stoplb_bp,all,rs<=0,141,23,,71.63,25.97,0.5532,43.63,0.4894,41.34,1.73,0.0972
rs_sign,ret_bo_live_stoplb_bp,all,rs>0,422,23,,115.87,19.62,0.519,87.87,0.4858,28.85,4.02,0.0006
rs_sign,ret_bo_live_stoplb_bp,all,NA,275,26,,4.65,-42.64,0.4618,-23.35,0.4145,79.34,0.06,0.9537
rs_sign,ret_bo_live_stoplb_bp,prior,rs<=0,60,10,,96.1,-17.73,0.4667,68.1,0.4167,75.6,1.27,0.2355
rs_sign,ret_bo_live_stoplb_bp,prior,rs>0,218,10,,96.83,7.08,0.5046,68.83,0.4679,33.95,2.85,0.019
rs_sign,ret_bo_live_stoplb_bp,prior,NA,259,18,,-11.72,-48.45,0.4402,-39.72,0.3938,86.14,-0.14,0.8933
rs_sign,ret_bo_live_stoplb_bp,new,rs<=0,81,13,,53.5,40.01,0.6173,25.5,0.5432,45.92,1.16,0.2667
rs_sign,ret_bo_live_stoplb_bp,new,rs>0,204,13,,136.22,33.47,0.5343,108.22,0.5049,48.53,2.81,0.0158
rs_sign,ret_bo_live_stoplb_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
rs_sign,ret_bo_live_stopub_bp,all,rs<=0,141,23,,-220.78,-500.0,0.3262,-248.78,0.2766,47.37,-4.66,0.0001
rs_sign,ret_bo_live_stopub_bp,all,rs>0,422,23,,-217.56,-500.0,0.2393,-245.56,0.2275,31.27,-6.96,0.0
rs_sign,ret_bo_live_stopub_bp,all,NA,275,26,,-271.89,-500.0,0.2145,-299.89,0.1891,73.07,-3.72,0.001
rs_sign,ret_bo_live_stopub_bp,prior,rs<=0,60,10,,-400.14,-500.0,0.0833,-428.14,0.0667,29.98,-13.35,0.0
rs_sign,ret_bo_live_stopub_bp,prior,rs>0,218,10,,-185.04,-500.0,0.2569,-213.04,0.2477,46.95,-3.94,0.0034
rs_sign,ret_bo_live_stopub_bp,prior,NA,259,18,,-294.25,-500.0,0.1892,-322.25,0.166,77.95,-3.78,0.0015
rs_sign,ret_bo_live_stopub_bp,new,rs<=0,81,13,,-87.92,1.75,0.5062,-115.92,0.4321,44.9,-1.96,0.0739
rs_sign,ret_bo_live_stopub_bp,new,rs>0,204,13,,-252.31,-500.0,0.2206,-280.31,0.2059,38.5,-6.55,0.0
rs_sign,ret_bo_live_stopub_bp,new,NA,16,8,,90.07,114.83,0.625,62.07,0.5625,142.69,0.63,0.5479
rs_within_day,ret_oc_bp,all,Q1,356,23,,161.43,77.42,0.5927,133.43,0.5646,51.91,3.11,0.0051
rs_within_day,ret_oc_bp,all,Q2,344,23,,132.74,59.5,0.5436,104.74,0.5174,38.74,3.43,0.0024
rs_within_day,ret_oc_bp,all,Q3,337,23,,149.35,70.72,0.5549,121.35,0.5252,34.69,4.31,0.0003
rs_within_day,ret_oc_bp,all,Q4,351,23,,188.55,141.77,0.6068,160.55,0.5812,55.28,3.41,0.0025
rs_within_day,ret_oc_bp,all,NA,896,35,,-63.75,-76.4,0.4408,-91.75,0.4174,103.24,-0.62,0.541
rs_within_day,ret_oc_bp,prior,Q1,159,10,,283.4,121.77,0.6101,255.4,0.5912,83.85,3.38,0.0081
rs_within_day,ret_oc_bp,prior,Q2,154,10,,219.29,125.1,0.6104,191.29,0.6039,62.85,3.49,0.0068
rs_within_day,ret_oc_bp,prior,Q3,152,10,,178.53,110.27,0.6118,150.53,0.5855,34.74,5.14,0.0006
rs_within_day,ret_oc_bp,prior,Q4,156,10,,256.26,164.67,0.6538,228.26,0.6346,59.94,4.28,0.0021
rs_within_day,ret_oc_bp,prior,NA,866,23,,-79.37,-86.08,0.4307,-107.37,0.4065,107.25,-0.74,0.4671
rs_within_day,ret_oc_bp,new,Q1,197,13,,62.99,59.29,0.5787,34.99,0.5431,51.01,1.23,0.2405
rs_within_day,ret_oc_bp,new,Q2,190,13,,62.59,-8.95,0.4895,34.59,0.4474,40.25,1.55,0.1459
rs_within_day,ret_oc_bp,new,Q3,185,13,,125.37,10.31,0.5081,97.37,0.4757,56.25,2.23,0.0457
rs_within_day,ret_oc_bp,new,Q4,195,13,,134.39,71.43,0.5692,106.39,0.5385,84.23,1.6,0.1366
rs_within_day,ret_oc_bp,new,NA,30,12,,386.95,355.57,0.7333,358.95,0.7333,158.27,2.44,0.0325
rs_within_day,ret_bo_simple_bp,all,Q1,67,22,,-33.55,-6.9,0.4925,-61.55,0.4776,49.92,-0.67,0.5089
rs_within_day,ret_bo_simple_bp,all,Q2,61,23,,55.3,25.12,0.5246,27.3,0.4918,71.18,0.78,0.4455
rs_within_day,ret_bo_simple_bp,all,Q3,62,21,,69.44,1.4,0.5,41.44,0.4516,57.26,1.21,0.2394
rs_within_day,ret_bo_simple_bp,all,Q4,68,21,,67.15,-69.71,0.4118,39.15,0.3971,74.59,0.9,0.3787
rs_within_day,ret_bo_simple_bp,all,NA,90,22,,-53.19,44.63,0.5556,-81.19,0.5333,127.41,-0.42,0.6806
rs_within_day,ret_bo_simple_bp,prior,Q1,31,9,,-56.53,-34.2,0.4194,-84.53,0.4194,75.28,-0.75,0.4742
rs_within_day,ret_bo_simple_bp,prior,Q2,28,10,,100.21,41.45,0.5357,72.21,0.5,136.76,0.73,0.4823
rs_within_day,ret_bo_simple_bp,prior,Q3,25,8,,54.43,8.84,0.52,26.43,0.4,67.71,0.8,0.4479
rs_within_day,ret_bo_simple_bp,prior,Q4,31,9,,98.66,-118.61,0.3548,70.66,0.3548,109.45,0.9,0.3937
rs_within_day,ret_bo_simple_bp,prior,NA,82,16,,-71.18,52.13,0.561,-99.18,0.5488,145.45,-0.49,0.6317
rs_within_day,ret_bo_simple_bp,new,Q1,36,13,,-13.76,41.36,0.5556,-41.76,0.5278,68.29,-0.2,0.8437
rs_within_day,ret_bo_simple_bp,new,Q2,33,13,,17.19,25.12,0.5152,-10.81,0.4848,72.54,0.24,0.8166
rs_within_day,ret_bo_simple_bp,new,Q3,37,13,,79.57,-6.03,0.4865,51.57,0.4865,86.82,0.92,0.3775
rs_within_day,ret_bo_simple_bp,new,Q4,37,12,,40.76,-51.52,0.4595,12.76,0.4324,101.7,0.4,0.6963
rs_within_day,ret_bo_simple_bp,new,NA,8,6,,131.15,-6.13,0.5,103.15,0.375,84.17,1.56,0.1799
rs_within_day,ret_bo_simple_stoplb_bp,all,Q1,67,22,,-14.19,-6.9,0.4925,-42.19,0.4776,42.89,-0.33,0.7441
rs_within_day,ret_bo_simple_stoplb_bp,all,Q2,61,23,,71.62,25.12,0.5246,43.62,0.4918,67.34,1.06,0.2991
rs_within_day,ret_bo_simple_stoplb_bp,all,Q3,62,21,,101.39,1.4,0.5,73.39,0.4516,41.35,2.45,0.0235
rs_within_day,ret_bo_simple_stoplb_bp,all,Q4,68,21,,104.59,-69.71,0.4118,76.59,0.3971,74.78,1.4,0.1772
rs_within_day,ret_bo_simple_stoplb_bp,all,NA,90,22,,49.05,44.63,0.5556,21.05,0.5333,83.24,0.59,0.562
rs_within_day,ret_bo_simple_stoplb_bp,prior,Q1,31,9,,-41.19,-34.2,0.4194,-69.19,0.4194,67.89,-0.61,0.5609
rs_within_day,ret_bo_simple_stoplb_bp,prior,Q2,28,10,,110.58,41.45,0.5357,82.58,0.5,134.18,0.82,0.4312
rs_within_day,ret_bo_simple_stoplb_bp,prior,Q3,25,8,,64.24,8.84,0.52,36.24,0.4,60.08,1.07,0.3204
rs_within_day,ret_bo_simple_stoplb_bp,prior,Q4,31,9,,116.8,-118.61,0.3548,88.8,0.3548,120.07,0.97,0.3592
rs_within_day,ret_bo_simple_stoplb_bp,prior,NA,82,16,,29.73,52.13,0.561,1.73,0.5488,95.6,0.31,0.7601
rs_within_day,ret_bo_simple_stoplb_bp,new,Q1,36,13,,9.06,41.36,0.5556,-18.94,0.5278,55.23,0.16,0.8724
rs_within_day,ret_bo_simple_stoplb_bp,new,Q2,33,13,,38.56,25.12,0.5152,10.56,0.4848,61.79,0.62,0.5443
rs_within_day,ret_bo_simple_stoplb_bp,new,Q3,37,13,,126.5,-6.03,0.4865,98.5,0.4865,57.8,2.19,0.0491
rs_within_day,ret_bo_simple_stoplb_bp,new,Q4,37,12,,94.36,-51.52,0.4595,66.36,0.4324,96.9,0.97,0.3511
rs_within_day,ret_bo_simple_stoplb_bp,new,NA,8,6,,247.06,-6.13,0.5,219.06,0.375,171.97,1.44,0.2103
rs_within_day,ret_bo_simple_stopub_bp,all,Q1,67,22,,-382.84,-500.0,0.1343,-410.84,0.1343,38.24,-10.01,0.0
rs_within_day,ret_bo_simple_stopub_bp,all,Q2,61,23,,-371.13,-500.0,0.1311,-399.13,0.1148,35.11,-10.57,0.0
rs_within_day,ret_bo_simple_stopub_bp,all,Q3,62,21,,-327.31,-500.0,0.1774,-355.31,0.1613,43.31,-7.56,0.0
rs_within_day,ret_bo_simple_stopub_bp,all,Q4,68,21,,-368.44,-500.0,0.0882,-396.44,0.0735,47.15,-7.81,0.0
rs_within_day,ret_bo_simple_stopub_bp,all,NA,90,22,,-398.87,-500.0,0.0889,-426.87,0.0889,26.69,-14.94,0.0
rs_within_day,ret_bo_simple_stopub_bp,prior,Q1,31,9,,-457.17,-500.0,0.0645,-485.17,0.0645,32.27,-14.17,0.0
rs_within_day,ret_bo_simple_stopub_bp,prior,Q2,28,10,,-416.32,-500.0,0.0714,-444.32,0.0714,56.04,-7.43,0.0
rs_within_day,ret_bo_simple_stopub_bp,prior,Q3,25,8,,-341.0,-500.0,0.2,-369.0,0.16,66.26,-5.15,0.0013
rs_within_day,ret_bo_simple_stopub_bp,prior,Q4,31,9,,-387.81,-500.0,0.0645,-415.81,0.0645,78.96,-4.91,0.0012
rs_within_day,ret_bo_simple_stopub_bp,prior,NA,82,16,,-394.93,-500.0,0.0976,-422.93,0.0976,28.42,-13.9,0.0
rs_within_day,ret_bo_simple_stopub_bp,new,Q1,36,13,,-318.84,-500.0,0.1944,-346.84,0.1944,53.66,-5.94,0.0001
rs_within_day,ret_bo_simple_stopub_bp,new,Q2,33,13,,-332.78,-500.0,0.1818,-360.78,0.1515,40.96,-8.13,0.0
rs_within_day,ret_bo_simple_stopub_bp,new,Q3,37,13,,-318.07,-500.0,0.1622,-346.07,0.1622,59.52,-5.34,0.0002
rs_within_day,ret_bo_simple_stopub_bp,new,Q4,37,12,,-352.21,-500.0,0.1081,-380.21,0.0811,60.12,-5.86,0.0001
rs_within_day,ret_bo_simple_stopub_bp,new,NA,8,6,,-439.24,-500.0,0.0,-467.24,0.0,64.45,-6.82,0.001
rs_within_day,ret_bo_live_bp,all,Q1,157,23,,19.49,15.47,0.5287,-8.51,0.4777,44.4,0.44,0.6649
rs_within_day,ret_bo_live_bp,all,Q2,140,23,,99.38,26.88,0.55,71.38,0.4929,46.06,2.16,0.0422
rs_within_day,ret_bo_live_bp,all,Q3,125,22,,121.38,62.02,0.536,93.38,0.52,47.42,2.56,0.0183
rs_within_day,ret_bo_live_bp,all,Q4,141,23,,87.1,-1.42,0.4965,59.1,0.461,49.85,1.75,0.0946
rs_within_day,ret_bo_live_bp,all,NA,275,26,,-80.72,-42.64,0.4618,-108.72,0.4145,100.74,-0.8,0.4305
rs_within_day,ret_bo_live_bp,prior,Q1,83,10,,21.21,-17.71,0.4699,-6.79,0.4217,72.88,0.29,0.7776
rs_within_day,ret_bo_live_bp,prior,Q2,71,10,,129.18,25.79,0.5493,101.18,0.4789,72.67,1.78,0.1092
rs_within_day,ret_bo_live_bp,prior,Q3,58,9,,94.22,-15.72,0.4655,66.22,0.4655,54.46,1.73,0.1219
rs_within_day,ret_bo_live_bp,prior,Q4,66,10,,53.08,7.27,0.5,25.08,0.4697,73.06,0.73,0.4859
rs_within_day,ret_bo_live_bp,prior,NA,259,18,,-102.37,-48.45,0.4402,-130.37,0.3938,109.71,-0.93,0.3638
rs_within_day,ret_bo_live_bp,new,Q1,74,13,,17.56,50.08,0.5946,-10.44,0.5405,51.96,0.34,0.7412
rs_within_day,ret_bo_live_bp,new,Q2,69,13,,68.71,30.6,0.5507,40.71,0.5072,58.75,1.17,0.2649
rs_within_day,ret_bo_live_bp,new,Q3,67,13,,144.89,89.58,0.597,116.89,0.5672,77.29,1.87,0.0854
rs_within_day,ret_bo_live_bp,new,Q4,75,13,,117.03,-13.13,0.4933,89.03,0.4533,68.63,1.71,0.1139
rs_within_day,ret_bo_live_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
rs_within_day,ret_bo_live_stoplb_bp,all,Q1,157,23,,55.47,15.47,0.5287,27.47,0.4777,39.9,1.39,0.1784
rs_within_day,ret_bo_live_stoplb_bp,all,Q2,140,23,,102.06,26.88,0.55,74.06,0.4929,45.3,2.25,0.0346
rs_within_day,ret_bo_live_stoplb_bp,all,Q3,125,22,,144.04,62.02,0.536,116.04,0.52,42.55,3.39,0.0028
rs_within_day,ret_bo_live_stoplb_bp,all,Q4,141,23,,127.61,-1.42,0.4965,99.61,0.461,48.39,2.64,0.0151
rs_within_day,ret_bo_live_stoplb_bp,all,NA,275,26,,4.65,-42.64,0.4618,-23.35,0.4145,79.34,0.06,0.9537
rs_within_day,ret_bo_live_stoplb_bp,prior,Q1,83,10,,61.66,-17.71,0.4699,33.66,0.4217,67.41,0.91,0.3842
rs_within_day,ret_bo_live_stoplb_bp,prior,Q2,71,10,,131.11,25.79,0.5493,103.11,0.4789,72.29,1.81,0.1031
rs_within_day,ret_bo_live_stoplb_bp,prior,Q3,58,9,,97.92,-15.72,0.4655,69.92,0.4655,54.03,1.81,0.1075
rs_within_day,ret_bo_live_stoplb_bp,prior,Q4,66,10,,102.56,7.27,0.5,74.56,0.4697,70.79,1.45,0.1813
rs_within_day,ret_bo_live_stoplb_bp,prior,NA,259,18,,-11.72,-48.45,0.4402,-39.72,0.3938,86.14,-0.14,0.8933
rs_within_day,ret_bo_live_stoplb_bp,new,Q1,74,13,,48.53,50.08,0.5946,20.53,0.5405,43.62,1.11,0.2877
rs_within_day,ret_bo_live_stoplb_bp,new,Q2,69,13,,72.17,30.6,0.5507,44.17,0.5072,56.77,1.27,0.2277
rs_within_day,ret_bo_live_stoplb_bp,new,Q3,67,13,,183.97,89.58,0.597,155.97,0.5672,65.41,2.81,0.0157
rs_within_day,ret_bo_live_stoplb_bp,new,Q4,75,13,,149.66,-13.13,0.4933,121.66,0.4533,67.81,2.21,0.0475
rs_within_day,ret_bo_live_stoplb_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
rs_within_day,ret_bo_live_stopub_bp,all,Q1,157,23,,-229.19,-500.0,0.293,-257.19,0.2611,36.63,-6.26,0.0
rs_within_day,ret_bo_live_stopub_bp,all,Q2,140,23,,-199.73,-500.0,0.3,-227.73,0.2714,39.39,-5.07,0.0
rs_within_day,ret_bo_live_stopub_bp,all,Q3,125,22,,-189.89,-500.0,0.264,-217.89,0.248,44.75,-4.24,0.0004
rs_within_day,ret_bo_live_stopub_bp,all,Q4,141,23,,-250.06,-500.0,0.1844,-278.06,0.1773,48.34,-5.17,0.0
rs_within_day,ret_bo_live_stopub_bp,all,NA,275,26,,-271.89,-500.0,0.2145,-299.89,0.1891,73.07,-3.72,0.001
rs_within_day,ret_bo_live_stopub_bp,prior,Q1,83,10,,-324.64,-500.0,0.1566,-352.64,0.1446,33.69,-9.64,0.0
rs_within_day,ret_bo_live_stopub_bp,prior,Q2,71,10,,-221.47,-500.0,0.2535,-249.47,0.2254,59.17,-3.74,0.0046
rs_within_day,ret_bo_live_stopub_bp,prior,Q3,58,9,,-143.62,-239.55,0.2759,-171.62,0.2759,70.74,-2.03,0.0768
rs_within_day,ret_bo_live_stopub_bp,prior,Q4,66,10,,-202.24,-500.0,0.2121,-230.24,0.2121,74.9,-2.7,0.0244
rs_within_day,ret_bo_live_stopub_bp,prior,NA,259,18,,-294.25,-500.0,0.1892,-322.25,0.166,77.95,-3.78,0.0015
rs_within_day,ret_bo_live_stopub_bp,new,Q1,74,13,,-122.14,-70.02,0.4459,-150.14,0.3919,40.37,-3.03,0.0105
rs_within_day,ret_bo_live_stopub_bp,new,Q2,69,13,,-177.37,-169.38,0.3478,-205.37,0.3188,53.57,-3.31,0.0062
rs_within_day,ret_bo_live_stopub_bp,new,Q3,67,13,,-229.94,-500.0,0.2537,-257.94,0.2239,55.98,-4.11,0.0015
rs_within_day,ret_bo_live_stopub_bp,new,Q4,75,13,,-292.14,-500.0,0.16,-320.14,0.1467,60.5,-4.83,0.0004
rs_within_day,ret_bo_live_stopub_bp,new,NA,16,8,,90.07,114.83,0.625,62.07,0.5625,142.69,0.63,0.5479
rsi,ret_oc_bp,all,<30,12,9,,516.84,655.51,0.75,488.84,0.75,265.99,1.94,0.0879
rsi,ret_oc_bp,all,30-50,502,23,,163.35,84.29,0.5837,135.35,0.5558,51.82,3.15,0.0046
rsi,ret_oc_bp,all,50-70,812,23,,144.13,67.06,0.5628,116.13,0.5345,39.71,3.63,0.0015
rsi,ret_oc_bp,all,70-85,61,20,,271.59,246.91,0.6557,243.59,0.6393,121.95,2.23,0.0382
rsi,ret_oc_bp,all,>85,2,2,,-770.79,-770.79,0.0,-798.79,0.0,410.16,-1.88,0.3113
rsi,ret_oc_bp,all,NA,895,35,,-64.51,-76.46,0.4402,-92.51,0.4168,103.34,-0.62,0.5366
rsi,ret_oc_bp,prior,<30,9,6,,332.25,614.92,0.6667,304.25,0.6667,295.59,1.12,0.3121
rsi,ret_oc_bp,prior,30-50,268,10,,256.7,160.71,0.6269,228.7,0.6157,71.55,3.59,0.0059
